Beneficial owner's Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Destination yard,Commercial operator ,Registered owner ,Built in (y),Sold for ($/ldt),Ldt (light displacement ton),Type of ship,Single hulled,Unnamed: 13
Greece,Baru Delta Maritime Incorporated ,Panormitis D.,8306967,Panama,"Alang, India",Baru Delta Maritime Incorporated ,Pax Navigation Incorporated ,1984,500,7994,Bulker,Y,
Greece,Benelux Overseas Incorporated,Maregas,8222214,Panama,"Alang, India",Benelux Overseas Incorporated,Mereville Nav. Incorporated ,1983,635,3700,LPG tanker,N,
Greece,Chian Spirit Maritime Enterprises Incorporated,Panamax Peppou,8024272,Panama,"Alang, India",Chian Spirit Maritime Enterprises Incorporated,Vaporia Maritime Inc ,1983,422,11850,Bulker,N,
Greece,Cosmoship Management S.A.,MSC Chaneca,8415677,Panama,"Alang, India",Cosmoship Management S.A.,South Cross Navigation Incorporated ,1985,483,5610,Containership,N,
Greece,Economou Group of Companies,Dikoni,8712099,Panama,"Alang, India",TMS Dry Limited ,Calypso Marine Corporation ,1988,485,22162,Bulker,N,
Greece,Euroseas Limited,Jonathan P.,8901389,Panama,"Alang, India",Eurobulk Limited ,Emmentaly Business Incorporated ,1990,490,8817,Containership,Y,
Greece,Evette Shipmanagement Limited ,Trader I,9129811,Panama,"Alang, India",Evette Shipmanagement Limited ,Algona Marine Company ,1996,unknown,7395,Containership,Y,
Greece,Iolcos Hellenic Maritime Enterprises Company Limited,Iolcos Glory,8103535,Panama,"Alang, India",Iolcos Hellenic Maritime Enterprises Company Limited,European Continent S.A. ,1982,428,12814,Bulker,Y,
Greece,Istos Maritime Incorporated,Avanta,8129917,Panama,"Alang, India",Istos Maritime Incorporated,Soul Shipping Limited ,1982,unknown,unknown,Bulker,Y,
Greece,Multibulk Marine Management S.A.,Ventura I,9037238,Panama,"Alang, India",Multibulk Marine Management S.A.,Ventura Shipping (Marshall Islands) Limited ,1995,unknown,5643,Containership,Y,
Greece,Naftilos Shipmanagement S.A.,Venus N. ,8412132,Panama,"Alang, India",Naftilos Shipmanagement S.A.,Avalon Shipping Limited ,1986,426,8152,Bulker,Y,
Greece,Pendulum Shipmanagement Incorporated,Princessa V,8203402,Panama,"Alang, India",Pendulum Shipmanagement Incorporated,Stalwart Shipping Incorporated ,1986,490,9042,Bulker,Y,
Greece,Pitiousa Shipping S.A.,Agios Nectarios 1,8109929,Panama,"Alang, India",Pitiousa Shipping S.A.,Agios Nectarios Shipping S.A. ,1982,492,5734,Bulker,N,
Greece,Polembros Shipping Limited ,Andros Warrior,8512839,Panama,"Alang, India",Polembros Shipping Limited ,Capri Shipping Corporation ,1986,485,22954,Bulker,Y,
Greece,Roswell Navigation Corporation,Izumo Bay,8213598,Panama,"Alang, India",Roswell Navigation Corporation,Izumo Bay Incorporated ,1984,442,5506,Reefer,Y,
Greece,Strand Management S.A.,White Arrow,8314469,Panama,"Alang, India",Strand Management S.A.,Blue Link Holding S.A. ,1985,452,10265,Bulker,N,
Greece,The Frangos-Moundreas Group,Azure,8023979,Panama,"Alang, India",Good Faith Shipping Company S.A. ,Anax Maritime S.A. ,1982,unknown,12200,Bulker,Y,
Greece,Trader Maritime Limited,Seagreen,8313350,Panama,"Alang, India",Trader Maritime Limited,Saron Marine Limited ,1987,unknown,10262,Bulk and Oil Carrier,Y,
Greece,Transbulk Management Incorporated,Langeron,8312136,Panama,"Alang, India",Transbulk Management Incorporated,Axel Maritime Corporation ,1984,435,6396,Bulker,Y,
Greece,Tsakos Shipping and Trading S.A. ,Brasil,8502872,Panama,"Alang, India",Tsakos Shipping and Trading S.A. ,Hedgestone Shipping Company Limited ,1986,442,14173,Containership,Y,
Greece,Unifleet Management S.A.,Harissa,7530418,Panama,"Alang, India",Unifleet Management S.A.,Sea Holy Shipping Company Limited S.A. ,1977,380,5826,Bulker,Y,
Greece,Victoria Oceanway Limited,Carina K.,8701533,Panama,"Alang, India",Victoria Oceanway Limited,Carina Marine Limited ,1991,425,8384,Bulker,Y,
Greece,Voras Navigation SA ,Friendship V,8323123,Panama,"Alang, India",Voras Navigation SA ,Drymaia Corporation ,1984,396,6865,Bulker,N,
Greece,Worldwide Ocean Chartering S.A.,Dover,7433634,Panama,"Alang, India",Worldwide ShipManagement S.A. ,Dover Navigation ,1981,438,9106,Bulker,Y,
Greece,Oceanfleet Shipping Limited ,Ocean King,8102270,St Kitts-Nevis,"Alang, India",Oceanfleet Shipping Limited ,Ocean King Shipping & Trading ,1983,415,9921,Bulker,Y,
Greece,Prime Marine Management Incorporated ,Marlin,8420610,St Kitts-Nevis,"Alang, India",Prime Marine Management Incorporated ,Manning Navigation Incorporated ,1987,unknown,14995,Chemical and Oil tanker,N,
Greece,Albamar Shipping Company S.A.,Titan,8117146,St Vincent & Grenadines,"Alang, India",Albamar Shipping Company S.A.,Fleet Marine Incorporated ,1983,437,8249,Bulker,Y,
Greece,Albamar Shipping Company S.A.,Kimon A.,8115320,St Vincent & Grenadines,"Alang, India",Albamar Shipping Company S.A.,Silverwood Shipping Corporation ,1983,430,5663,General Cargo ship,N,
Greece,Balthellas Chartering S.A. ,Ilya,9111228,St Vincent & Grenadines,"Alang, India",Balthellas Chartering S.A. ,Eagle Navigation Limited ,1994,413,5060,General Cargo ship,Y,
Greece,Pikey Navigation S.A.,Maria K,8029260,St Vincent & Grenadines,"Alang, India",Pikey Navigation S.A.,Kapa Navigation S.A. ,1983,545,7684,Bulker,Y,
Greece,D.N. Efthymiou,Junior 9,7718163,Tanzania,"Alang, India",D. Efthymiou Shipping S.A.,Thelisis E.N.E. ,1979,unknown,unknown,General Cargo ship,Y,
Hong Kong,Wing Tak Shipping Agency Limited,Amagisan,9056715,Hong Kong,"Alang, India",Wing Tak Shipping Agency Limited,Triumph Sea Limited ,1993,380,19160,Bulker,Y,
Hong Kong,Wing Tak Shipping Agency Limited,Awobasan,9063469,Hong Kong,"Alang, India",Wing Tak Shipping Agency Limited,Triumph Sea Limited ,1994,418,18595,Bulker,Y,
Hong Kong,Wing Tak Shipping Agency Limited,Creciente,8815463,Hong Kong,"Alang, India",Wing Tak Shipping Agency Limited,Triumph Sea Limited ,1990,420,18112,Bulker,Y,
Hong Kong,Topway Shipping Limited,Jia Xin,8025795,Panama,"Alang, India",Topway Shipping Limited,Jia Xin Shipping Group Limited ,1983,unknown,unknown,Bulker,N,
Hong Kong,Topway Shipping Limited,Jia Yang 1,8104151,Panama,"Alang, India",Topway Shipping Limited,Jia Yang Shipping Group Limited ,1984,unknown,12162,Bulker,Y,
Hong Kong,Wing Tak Shipping Agency Limited,Mellow Wind,9138965,Panama,"Alang, India",Wing Tak Shipping Agency Limited,Triumph Sea Limited ,1997,420,20334,Bulker,Y,
Hong Kong,Sinokor Company Limited,Frontier 51,8028072,St Kitts-Nevis,"Alang, India",Sinokor Merchant Marine Company Limited ,Ocean HL Maritime S.A. ,1983,412,11912,Bulker,Y,
Hong Kong,Kind Faith Industry Development Company Limited,Fountain,7928067,Tuvalu,"Alang, India",Kind Faith Industry Development Company Limited,Kind Faith Industry Development Company Limited,1981,408,unknown,Bulker,Y,
India,Apeejay Shipping Limited,Mahalaxmi,8413930,Comoros,"Alang, India",Apeejay Shipping Limited,Apeejay Shipping Limited,1985,430,11180,Bulker,N,
India,Jindal Waterways Limited,Jindal Kamla,8518584,India,"Alang, India",Jindal Waterways Limited,Jindal Waterways Limited,1986,unknown,unknown,RoRo,N,
India,Jindal Waterways Limited ,Jindal Manjula,8509715,India,"Alang, India",Jindal Waterways Limited ,Jindal Waterways Limited ,1987,unknown,unknown,General cargo ship,Y,
India,M  Pallonji & Company Private Limited,MP3,8109149,India,"Alang, India",M. Pallonji Shipping Private Limited,M. Pallonji Shipping Private Limited,1983,428,12709,Bulker,Y,
India,Mak Lines ,Bhoruka Prabhu,7637383,India,"Alang, India",Mak Lines ,Mak Lines ,1978,unknown,unknown,General cargo ship ,Y,
India,The Shipping Corporation of India Limited ,Rishikesh,8321084,India,"Alang, India",The Shipping Corporation of India Limited ,The Shipping Corporation of India Limited ,1986,450,10080,Bulker ,Y,
India,Prayati Shipping Private Limited,Oriental N.,8414520,Sierra Leone,"Alang, India",Prayati Shipping Private Limited,Best Oasis Limited ,1986,465,28822,Bulk Ore Carrier,Y,
India,Ashapura Group of Industries,Asha Prestige,8318829,St Kitts-Nevis,"Alang, India",Ashapura Shipping Limited ,Asha Prestige Company ,1984,unknown,unknown,Bulker,Y,
India,Pelmar Shipping & Engineering Private Limited,Aspire,6513994,St Kitts-Nevis,"Alang, India",Pelmar Shipping & Engineering Private Limited,Taymouth Limited ,1967,unknown,unknown,Passenger ship ,Y,
India,Quadrant Maritime Private Limited ,Vivian,8130289,St Kitts-Nevis,"Alang, India",Quadrant Maritime Private Limited ,Vivian Shipping Company Incorporated ,1983,415,7952,Bulker ,Y,
Iran,Islamic Republic of Iran Shipping Lines (IRISL,Ashwini,8107581,Comoros,"Alang, India",Islamic Republic of Iran Shipping Lines (IRISL,Islamic Republic of Iran Shipping Lines (IRISL,1983,unknown,8953,Bulker,N,
Iran,Sapid Shipping Company ,Bharani,8105284,Comoros,"Alang, India",Sapid Shipping Company ,Sapid Shipping Company ,1983,unknown,7815,Bulker,N,
Iran,Sapid Shipping Company,Govind,7620550,Comoros,"Alang, India",Sapid Shipping Company,Kalan Kish Shipping Company ,1978,unknown,unknown,Bulker,N,
Iran,Sapid Shipping Company,Ocean,8309658,Sierra Leone,"Alang, India",Sapid Shipping Company,Grand Trinity Limited ,1985,unknown,unknown,Bulker,N,
Israel,Israel Corporation Limited,Africa Star,8707434,Liberia,"Alang, India",Zim Integrated Shipping Services Limited ,Sea Ranger Navigation Company Limited ,1988,unknown,unknown,Containership,N,
Israel,Ray Shipping Limited,Pearl Ray,7825435,Liberia,"Alang, India",Ray Shipping Limited,Pearl Ray Shipping Limited ,1980,unknown,11852,Vehicle Carrier,Y,
Italy,Ignazio Messina & C. S.p.A.,Oro,7900053,Comoros,"Alang, India",Ignazio Messina & C. S.p.A.,Ignazio Messina & C. S.p.A.,1981,unknown,15405,Ro-Ro,N,
Italy,Cafiero Mattioli Group (CA.FI.MA.),Lemno,8122165,Italy,"Alang, India",Augustea Atlantica S.p.A. ,Augustea Atlantica S.p.A. ,1982,490,14425,Bulker,Y,
Italy,Ignazio Messina & C. S.p.A.,Jolly Argento,7900077,Italy,"Alang, India",Ignazio Messina & C. S.p.A.,Ignazio Messina & C. S.p.A.,1981,unknown,15405,Ro-Ro,N,
Italy,Polaris Srl,Paquita,9032965,Malta,"Alang, India",Polaris Srl,Polaris Srl,1992,472,4565,General Cargo ship,Y,
Italy,Vittorio Bogazzi & Figli S.p.A.,Carrara Castle,8220072,Malta,"Alang, India",Navalmar (UK) Limited ,Navalmar (UK) Limited ,1984,407,12041,General Cargo ship,N,
Italy,BM Shipping Group S.p.A.,BM Defender,8017009,Panama,"Alang, India",BM Shipping Group S.p.A.,BM Shipping Group S.p.A.,1981,462,8405,General Cargo ship,N,
Italy,Vittorio Bogazzi & Figli S.p.A.,Dover Castle,8010685,Panama,"Alang, India",Navalmar (UK) Limited ,Navalmar (UK) Limited ,1982,unknown,11200,General Cargo Ship,N,
Italy,Vittorio Bogazzi & Figli S.p.A.,Leeds Castle,8010697,Panama,"Alang, India",Navalmar (UK) Limited ,Navalmar (UK) Limited ,1983,unknown,11120,General Cargo ship,N,
Italy,Vittorio Bogazzi & Figli S.p.A.,Malaspina Castle,7915967,Panama,"Alang, India",Navalmar (UK) Limited ,Navalmar (UK) Limited ,1981,unknown,9027,Bulker,Y,
Italy,Vittorio Bogazzi & Figli S.p.A.,Rosborg,7813183,Panama,"Alang, India",Navalmar Transportes Maritimos Limitada ,Navalmar Transportes Maritimos Limitada ,1978,485,8301,Bulker,Y,
Italy,Grimaldi Group Napoli ,Jai Bhole,8521218,St Kitts-Nevis,"Alang, India",Grimaldi Compagnia di Navigazione S.p.A. (GRINAVI) ,Industria Armamento Meridionale S.p.A. (INARME) ,1989,unknown,15552,Ro-Ro,Y,
Italy,Ignazio Messina & C. S.p.A.,Blu,8302296,St Kitts-Nevis,"Alang, India",Ignazio Messina & C. S.p.A.,Ignazio Messina & C. S.p.A.,1988,350,7309,Ro-Ro,N,
Italy,Ignazio Messina & C. S.p.A.,Indaco,8828642,St Kitts-Nevis,"Alang, India",Ignazio Messina & C. S.p.A.,Ignazio Messina & C. S.p.A.,1989,350,8869,Ro-Ro,Y,
Italy,Stradeblu S.r.l.,Indus,7389194,St Kitts-Nevis,"Alang, India",Stradeblu S.r.l.,Stradeblu S.r.l.,1979,unknown,5182,Ro-Ro,Y,
Italy,Vittorio Bogazzi & Figli S.p.A.,Humboldt Current,7819943,St Vincent & Grenadines,"Alang, India",Vittorio Bogazzi & Figli S.p.A.,Vittorio Bogazzi & Figli S.p.A.,1981,479,8806,General Cargo ship,Y,
Japan,Mitsui O.S.K. Lines Limited (MOL),Atlantic Spirit,8517372,Liberia,"Alang, India",MOL Ship Management Company Limited ,World Car Carriers Incorporated ,1987,494,13134,Vehicle Carrier,Y,
Japan,Mitsui O.S.K. Lines Limited (MOL) ,Align,9078153,Netherlands,"Alang, India",MOL Ship Management (Europe) BV ,MOL Netherlands Bulkship BV ,1994,unknown,9817,Wood chip carrier,Y,
Japan,Kawasaki Kisen Kaisha Limited ('K' Line),POS Yantian,8808226,Panama,"Alang, India",K Line Ship Management Company Limited ,Prunella Shipholding S.A. ,1988,434,17540,Containership,Y,
Japan,Meiji Shipping Company Limited,New Oji Pioneer,9088574,Panama,"Alang, India",Meiji Shipping Company Limited,Forester Shipping S.A. ,1994,430,9320,Wood chip carrier,Y,
Japan,Mitsui O.S.K. Lines Limited (MOL),Atlantic Prosperity,9106168,Panama,"Alang, India",MOL Tankship Management (Europe) Limited ,Exult Shipping S.A. ,1995,unknown,40378,Crude Oil Tanker,N,
Japan,Mitsui O.S.K. Lines Limited (MOL) ,Chuetsu Maru,8611972,Panama,"Alang, India",Kyokuto Shipping Company Limited ,Ocean Woodland Shipping Company Limited ,1987,425,8950,Wood chip carrier,Y,
Japan,Mitsui O.S.K. Lines Limited (MOL) ,Glen Maye,9012240,Panama,"Alang, India",Mitsui O.S.K. Lines Limited (MOL) ,Taurus Transport & Marine S.A. ,1992,unknown,unknown,Crude Oil Tanker,N,
Japan,Mitsui O.S.K. Lines Limited (MOL) ,Grandis,8914049,Panama,"Alang, India",Mitsui O.S.K. Lines Limited (MOL) ,Cygnet Bulk Carriers S.A. ,1991,445,9022,Wood chip carrier,Y,
Japan,Shoei Kisen Kaisha Limited ,Jaiho,9118836,Panama,"Alang, India",Shoei Kisen Kaisha Limited ,Almirante Shipping S.A. ,1995,unknown,unknown,Containership,Y,
Japan,Shoei Kisen Kaisha Limited ,Seijin,8417572,Panama,"Alang, India",Shoei Kisen Kaisha Limited ,San Clemente Shipping S.A. (50%) & Tokyo Sangyo Kaisha Limited (50%) ,1985,unknown,12203,Vehicle Carrier,Y,
Japan,Tostec Limited,Hibiscus,9159141,St Kitts-Nevis,"Alang, India",Tostec Limited,Act Carriers Corporation ,1997,unknown,unknown,Containership,Y,
Japan,Nippon Yusen Kaisha (NYK) ,Supreme Harvest,8710376,Vanuatu,"Alang, India",Nippon Yusen Kaisha (NYK) ,NYK Reefers Limited ,1988,unknown,unknown,Reefer,Y,
Kenya,Ocean Mist Kenya Limited ,Ocean Mist,5309906,Cambodia,"Alang, India",Ocean Mist Kenya Limited ,Ocean Mist Limited ,1956,unknown,4143,Passenger ship,Y,
Kuwait,Galfar Engineering,Galfar 01,7627247,Comoros,"Alang, India",Galfar Engineering,Galfar Engineering,1977,unknown,7459,Bulker,Y,
Kuwait,United Arab Shipping Company (S.A.G.) (UASC),Mirqab,8117304,Comoros,"Alang, India",United Arab Shipping Company (S.A.G.) (UASC),United Arab Shipping Company (S.A.G.) (UASC),1983,488,12861,Containership,Y,
Kuwait,Livestock Transport & Trading Company (K.S.C.) ,Al Kuwait,6705303,Kuwait,"Alang, India",Livestock Transport & Trading Company (K.S.C.) ,Livestock Transport & Trading Company (K.S.C.) ,1967,356,unknown,Livestock carrier,Y,
Kuwait,United Arab Shipping Company (S.A.G.) (UASC) ,Aliva,8117251,Qatar,"Alang, India",United Arab Shipping Company (S.A.G.) (UASC) ,United Arab Shipping Company (S.A.G.) (UASC) ,1983,430,unknown,Containership,Y,
Kuwait,United Arab Shipping Company (S.A.G.) (UASC) ,Qatari Ibn Al Fuja'a,8117299,Qatar,"Alang, India",United Arab Shipping Company (S.A.G.) (UASC) ,United Arab Shipping Company (S.A.G.) (UASC) ,1983,502,12861,Containership,Y,
Kuwait,United Arab Shipping Company (S.A.G.) (UASC),Al Ihsa'a,8117237,Saudi Arabia,"Alang, India",United Arab Shipping Company (S.A.G.) (UASC),United Arab Shipping Company (S.A.G.) (UASC),1983,501,12861,Containership,Y,
Kuwait,United Arab Shipping Company (S.A.G.) (UASC),Hammura,8117287,St Kitts-Nevis,"Alang, India",United Arab Shipping Company (S.A.G.) (UASC),United Arab Shipping Company (S.A.G.) (UASC),1983,498,13212,Containership,Y,
Kuwait,United Arab Shipping Company (S.A.G.) (UASC) ,Manakh,8117263,St Kitts-Nevis,"Alang, India",United Arab Shipping Company (S.A.G.) (UASC) ,United Arab Shipping Company (S.A.G.) (UASC) ,1983,520,12888,Containership,Y,
Kuwait,United Arab Shipping Company (S.A.G.) (UASC) ,Mariyah,8117275,St Kitts-Nevis,"Alang, India",United Arab Shipping Company (S.A.G.) (UASC) ,United Arab Shipping Company (S.A.G.) (UASC) ,1983,unknown,unknown,Containership,Y,
Kuwait,United Arab Shipping Company (S.A.G.) (UASC),Waleed,8117249,Tuvalu,"Alang, India",United Arab Shipping Company (S.A.G.) (UASC),United Arab Shipping Company (S.A.G.) (UASC),1983,514,12858,Containership,Y,
Kuwait,United Arab Shipping Company (S.A.G.) (UASC) ,Dubai,8117225,UAE,"Alang, India",United Arab Shipping Company (S.A.G.) (UASC) ,United Arab Shipping Company (S.A.G.) (UASC) ,1982,435,12899,Containership,Y,
Latvia,Sia Firma Baltkraft,Crystal Hope,7375870,St Vincent & Grenadines,"Alang, India",Sia Firma Baltkraft,Sia Firma Baltkraft,1975,unknown,3535,Reefer,Y,
Lebanon,GMZ Ship Management Company S.A.,Med Levant,8210388,Panama,"Alang, India",GMZ Ship Management Company S.A.,Med-Levant Maritime Company ,1982,unknown,unknown,Bulker,Y,
Lebanon,Ademar Shipping Lines,Ria,8513792,Togo,"Alang, India",Ademar Shipping Lines,Lina Marine Navigation S.A. ,1986,unknown,unknown,Containership,Y,
Lebanon,GMZ Ship Management Company S.A. ,Aveiro,7722712,Togo,"Alang, India",GMZ Ship Management Company S.A. ,Aveiro Shipping S.A. ,1978,427,4507,Bulker,Y,
Lebanon,Ocean Enterprises S.A. ,Al Youssef,8005549,Togo,"Alang, India",Ocean Enterprises S.A. ,Rimar Shipping Limited ,1981,unknown,unknown,Bulker,Y,
Lithuania,Limarko Shipping Company AB,Pluto,8618853,Lithuania,"Alang, India",Limarko Shipping Company AB,Limarko Shipping Company AB,1988,447,4161,Reefer,Y,
Malaysia,Hubline Berhad ,Saipan Carrier,8100698,Malaysia,"Alang, India",Hub Shipping Sendirian Berhad ,Hub Shipping Sendirian Berhad ,1981,unknown,unknown,Containership,Y,
Malaysia,Hubline Berhad ,Saipan Star,8130071,Malaysia,"Alang, India",Hub Shipping Sendirian Berhad ,Hub Shipping Sendirian Berhad ,1992,unknown,unknown,Containership,Y,
Malaysia,MISC Berhad,Bunga Pelangi Dua,9111618,Malaysia,"Alang, India",MISC Berhad,MISC Berhad,1995,unknown,unknown,Containership,Y,
Malaysia,Fully Shipping Limited,Taiglory,8714011,Panama,"Alang, India",Fully Shipping Limited,Fully Shipping Limited,1988,423,16463,Bulker,Y,
Monaco,V Ships Group Limited,Bic Clare,9006863,Bahamas,"Alang, India",V. Ships (Cyprus) Limited ,Bic Clare Company ,1992,unknown,unknown,Bulk ore and oil carrier,N,
Monaco,V Ships Group Limited,Lina,8300602,Bahamas,"Alang, India",V. Ships (UK) Limited ,Partankers V AS ,1984,unknown,unknown,Crude oil Tanker,Y,
Monaco,Sammy Ofer Group Monaco ,Calm Sea,8920232,Liberia,"Alang, India",Tanker Pacific Management (Singapore) Private Limited ,Merpin Shipping Incorporated ,1992,unknown,unknown,Crude Oil Tanker,N,
Monaco,V Ships Group Limited ,Pioneer,9039676,Liberia,"Alang, India",V. Ships (Asia) Private Limited ,Glion Pioneer Limited ,1993,397,14164,Crude oil Tanker,N,
Monaco,Sammy Ofer Group Monaco ,Beaufort Sea,9002245,Singapore,"Alang, India",Tanker Pacific Management (Singapore) Private Limited ,Denfin Shipping Limited ,1992,unknown,unknown,Crude Oil Tanker,N,
Monaco,V Ships Group Limited,Navajo,8613803,Tuvalu,"Alang, India",V. Ships (UK) Limited ,Partankers V AS ,1990,479,19797,Crude oil Tanker,N,
Monaco,Sammy Ofer Group Monaco ,SCI Prestige,9017032,UK,"Alang, India",Zodiac Maritime Agencies Limited ,Gregory Shipping Incorporated ,1992,unknown,15837,Containership,Y,
Morocco,Compagnie Maritime Maroco-Norvegienne (COMARIT),Ora,9162629,Togo,"Alang, India",Compagnie Marocaine de Navigation (COMANAV) ,Compagnie Marocaine de Navigation (COMANAV) ,2000,443,9890,Containership,Y,
Netherlands,Seatrade Holding B.V. ,Spring Bear,8220383,Liberia,"Alang, India",Seatrade Reefer Chartering N.V. ,Spring Bear Shipping Company S.A. ,1984,390,8371,Reefer,Y,
